CODE,CPV_HU,CPV_EN
03142300-1,Állati eredetű élelmiszer,Edible products of animal origin
03142400-2,Viasz,Waxes
03142500-3,Tojás,Eggs
03143000-5,Vegyes mezőgazdasági termék,Products of mixed farming
03144000-2,Mezőgazdasági kellék,Agricultural supplies
03200000-3,"Gabonafélék, burgonya, zöldségek, gyümölcsök és diófélék","Cereals, potatoes, vegetables, fruits and nuts"
03210000-6,Gabonafélék és burgonya,Cereals and potatoes
03211000-3,Gabonafélék,Cereals
03211100-4,Búza,Wheat
03211110-7,Durumbúza,Durum wheat
03211120-0,Lágy búza (étkezési búza),Soft wheat
03211200-5,Kukorica,Maize
03211300-6,Rizs,Rice
03211400-7,Árpa,Barley
03211500-8,Rozs,Rye
03211600-9,Zab,Oats
03211700-0,Maláta,Malt
03211900-2,Gabona- és malomipari termék (szemes termény),Grain products
03212000-0,Burgonya és szárított zöldség,Potatoes and dried vegetables
03212100-1,Burgonya,Potatoes
03212200-2,Száraz fejtett hüvelyesek és hüvelyes vetemények,Dried leguminous vegetables and pulses
03212210-5,Száraz hüvelyesek,Dried leguminous vegetables
03212211-2,Lencse,Lentils
03212212-9,Csicseriborsó,Chick peas
03212213-6,Sárgaborsó (szárazborsó),Dried peas
03212220-8,Hüvelyesek,Pulses
03220000-9,"Zöldségek, gyümölcsök és diófélék","Vegetables, fruits and nuts"
03221000-6,Zöldségfélék,Vegetables
03221100-7,Gumós és gyökérzöldség,Root and tuber vegetables
03221110-0,Gyökérzöldség,Root vegetables
03221111-7,Cékla,Beetroot
03221112-4,Répa,Carrots
03221113-1,Hagymafélék,Onions
03221114-8,Petrezselyemgyökér,Turnips
03221120-3,Gumós zöldség,Tuber vegetables
03221200-8,Gyümölcszöldség,Fruit vegetables
03221210-1,Bab,Beans
03221211-8,Disznóbab,Broad beans
03221212-5,Zöldbab,Green beans
03221213-2,Futóbab,Runner beans
03221220-4,Borsó,Peas
03221221-1,Kerti borsó,Garden peas
03221222-8,Cukorborsó,Mange-tout
03221230-7,Paprika,Peppers
03221240-0,Paradicsom,Tomatoes
03221250-3,Cukkini,Courgettes
03221260-6,Gomba,Mushrooms
03221270-9,Uborka,Cucumbers
03221300-9,Levélzöldség,Leaf vegetables
03221310-2,Fejes saláta,Lettuce
03221320-5,Tépősaláta,Salad leaves
03221330-8,Articsóka,Artichokes
03221340-1,Spenót,Spinach
03221400-0,Káposztafélék,Cabbage vegetables
03221410-3,Fejes káposzta,Cabbage
03221420-6,Karfiol,Cauliflower
03221430-9,Brokkoli,Broccoli
03221440-2,Kelbimbó,Brussels sprouts
03222000-3,Gyümölcsök és diófélék,Fruit and nuts
03222100-4,Déligyümölcsök és trópusi diófélék,Tropical fruit and nuts
03222110-7,Déligyümölcsök,Tropical fruit
03222111-4,Banán,Bananas
03222112-1,Ananász,Pineapples
03222113-8,Mangó,Mangoes
03222114-5,Datolya,Dates
03222115-2,Mazsola,Raisins
03222116-9,Füge,Figs
03222117-6,Avokádó,Avocados
03222118-3,Kivi,Kiwi fruit
03222120-0,Kókuszdió,Coconuts
03222200-5,Citrusfélék,Citrus fruit
03222210-8,Citrom,Lemons
03222220-1,Narancs,Oranges
03222230-4,Grépfrút,Grapefruit
03222240-7,Mandarin,Tangerines
03222250-0,Lime,Limes
03222300-6,Nem déligyümölcs,Non-tropical fruit
03222310-9,Bogyós gyümölcs,Berry fruit
03222311-6,Ribiszke,Currants
03222312-3,Köszméte (egres),Gooseberries
03222313-0,Szamóca (földieper),Strawberries
03222314-7,Málna,Raspberries
03222315-4,Áfonya,Cranberries
03222320-2,"Alma, körte és birs","Apples, pears and quinces"
03222321-9,Alma,Apples
03222322-6,Körte,Pears
03222323-3,Birs,Quinces
03222330-5,Csonthéjas gyümölcs,Stone fruit
03222331-2,Kajszibarack,Apricots
03222332-9,Őszibarack,Peaches
03222333-6,"Cseresznye, meggy",Cherries
03222334-3,Szilva,Plums
03222340-8,Szőlő,Grapes
03222341-5,Csemegeszőlő,Table grapes
03222342-2,Borszőlő,Wine grapes
03222400-7,Olajbogyó,Olives
03300000-2,"Mezőgazdasági, vadászati és halászati termékek","Farming, hunting and fishing products"
03310000-5,"Halak, rákok és akvakultúra-termékek","Fish, crustaceans and aquatic products"
03311000-2,Halak,Fish
03311100-3,Lepényhalalakúak,Flat fish
03311110-6,Közönséges nyelvhal,Sole
03311120-9,Sima lepényhal,Plaice
03311200-4,A tőkehalfélék családjába tartozó halak,Fish of the cod family
03311210-7,Közönséges tőkehal,Cod
03311220-0,Sávos tőkehal,Pollock
03311230-3,Szürke tőkehal,Hake
03311240-6,Foltos tőkehal,Haddock
03311300-5,Hering,Herring
03311400-6,Tonhal,Tuna
03311500-7,Vékonybajszú tőkehal,Whiting
03311600-8,Apróhal,Whitebait
03311700-9,Lazac,Salmon
03312000-9,Rákfélék és héjas állatok,Crustaceans
03312100-0,Osztriga,Oysters
03312200-1,Kagylóhús,Shellfish
03312300-2,Gerinctelen víziállat,Aquatic invertebrates
03313000-6,Tengeri termékek,Aquatic products
03313100-7,Korallok és hasonló termékek,Corals or similar products
03313200-8,Természetes szivacs,Natural sponges
03313300-9,Tengeri moszatok,Seaweeds
03313310-2,Algák,Algae
03320000-8,"Szarvasmarha, állatállomány és kisállatok","Cattle, livestock and small animals"
03321000-5,Szarvasmarhafélék,Cattle
03321100-6,Szarvasmarha,Bovine cattle
03321200-7,Borjú,Calves
03322000-2,Haszonállat,Livestock
03322100-3,Juh,Sheep
03322200-4,Kecske,Goats
03322300-5,Ló,Horses
03323000-9,Sertés,Pigs
03324000-6,"Baromfi, élő állat",Live poultry
03325000-3,Kisállatok,Small animals
03325100-4,Házinyúl,Rabbits
03325200-5,Mezei nyúl,Hares
03330000-3,Állattenyésztési termékek,Farm animal products
03331000-0,Nyers juh- és kecsketej,Fresh milk from sheep and goats
03331100-1,Juhtej,Sheep's milk
03331200-2,Kecsketej,Goats' milk
03332000-7,Gyapjú és állati szőr,Wool and animal hair
03332100-8,Nyírt gyapjú,Shorn wool
03332200-9,Állati szőr,Animal hair
03333000-4,Nyers tehéntej,Fresh cows' milk
03340000-6,Állatfüljelzők,Animal ear tags
03341000-3,Szarvasmarhafül-jelzők,Bovine ear tags
03400000-4,Erdészeti és fafeldolgozási termék,Forestry and logging products
03410000-7,Faanyag,Wood
03411000-4,Tűlevelű faanyag,Coniferous wood
03412000-1,Trópusi faanyag,Tropical wood
03413000-8,Tűzifa,Fuel wood
03414000-5,Gömbfa,Rough wood
03415000-2,Puhafa,Softwood
03416000-9,Fahulladék,Wood waste
03417000-6,Hulladékfa,Scrap wood
03417100-7,Fűrészpor,Sawdust
03418000-3,Hengeresfa (rönkfa),Logs
03418100-4,Keményfa,Hardwood
03419000-0,Épületfa,Timber
03419100-1,Fűrészáru,Timber products
03419200-2,Bányafa,Mining timber
03420000-0,Gumi,Gums
03421000-7,Balzsam,Balsams
03422000-4,Sellak,Lac
03430000-3,Parafa,Cork
03431000-0,Természetes parafa,Natural cork
03432000-7,Kosáráruk,Basketware
03432100-8,Vesszőfonadékok (fonott áruk),Wickerwork
03440000-6,Erdészeti termék,Forestry products
03441000-3,"Dísznövények, pázsitfűfélék, moha vagy zuzmó","Ornamental plants, grasses, mosses or lichens"
03450000-9,Faiskolai termék,Tree-nursery products
03451000-6,Növények,Plants
03451100-7,Dísznövények,Bedding plants
03451200-8,Virághagymák,Flower bulbs
03451300-9,"Bokrok, cserjék",Shrubs
03452000-3,Fák,Trees
03460000-2,Cellulóz,Pulp
03461000-9,Fapép,Wood pulp
03461100-0,Kémiai úton előállított fapép,Chemical wood pulp
09000000-3,"Kőolajtermékek, tüzelőanyagok, villamos energia és egyéb energiaforrások","Petroleum products, fuel, electricity and other sources of energy"
09100000-0,Tüzelőanyagok,Fuels
09110000-3,Szilárd tüzelőanyagok,Solid fuels
09111000-0,Szén és szénalapú tüzelőanyagok,Coal and coal-based fuels
09111100-1,Szén,Coal
09111200-2,Szénalapú tüzelőanyagok,Coal-based fuels
09111210-5,Kőszén,Hard coal
09111220-8,Brikett,Briquettes
09111300-3,Fosszilis tüzelőanyagok,Fossil fuels
09111400-4,Fa tüzelőanyagok,Wood fuels
09112000-7,Lignit és tőzeg,Lignite and peat
09112100-8,Lignit,Lignite
09112200-9,Tőzeg,Peat
09113000-4,Koksz,Coke
09120000-6,Gáznemű tüzelőanyagok,Gaseous fuels
09121000-3,"Kőszéngáz, vezetékes gáz vagy hasonló gázok","Coal gas, mains gas or similar gases"
09121100-4,Kőszéngáz vagy hasonló gázok,Coal gas or similar gases
09121200-5,Vezetékes gáz,Mains gas
09122000-0,Propán és bután,Propane and butane
09122100-1,Propángáz,Propane gas
09122110-4,Cseppfolyós propángáz,Liquefied propane gas
09122200-2,Butángáz,Butane gas
09122210-5,Cseppfolyós butángáz,Liquefied butane gas
09123000-7,Földgáz,Natural gas
09130000-9,Kőolaj és párlatok,Petroleum and distillates
09131000-6,Kerozin,Aviation kerosene
09131100-7,Kerozin típusú sugárhajtómű-üzemanyagok,Kerosene jet type fuels
09132000-3,Benzin,Petrol
09132100-4,Ólmozatlan benzin,Unleaded petrol
09132200-5,Ólmozott benzin,Leaded petrol
09132300-6,Etanolos benzin,Petrol with ethanol
09133000-0,Cseppfolyós propán-bután gáz (LPG),Liquefied Petroleum Gas (LPG)
09134000-7,Gázolaj,Gas oils
09134100-8,Dízelolaj,Diesel oil
09134200-9,Dízelüzemanyag,Diesel fuel
09134210-2,"Dízelüzemanyag (0,2)","Diesel fuel (0,2)"
09134220-5,Dízelüzemanyag (EN 590),Diesel fuel (EN 590)
09134230-8,Biodízel,Biodiesel
09134231-5,Biodízel (B20),Biodiesel (B20)
09134232-2,Biodízel (B100),Biodiesel (B100)
09135000-4,Tüzelőolaj,Fuel oils
09135100-5,Fűtőolaj,Heating oil
09135110-8,Alacsony kéntartalmú fűtőolajak,Low-sulphur combustible oils
09200000-1,"Kőolaj, kőszén és olajtermékek","Petroleum, coal and oil products"
09210000-4,Kenőanyag-készítmények,Lubricating preparations
09211000-1,Kenőolaj és kenőanyagok,Lubricating oils and lubricating agents
09211100-2,Motorolaj,Motor oils
09211200-3,Kompresszorolaj,Compressor lube oils
09211300-4,Turbinaolajok,Turbine lube oils
09211400-5,Hajtóműolajok,Gear oils
09211500-6,Reduktorolajok,Reductor oils
09211600-7,Hidraulikus rendszerekben való felhasználásra vagy egyéb célokra szolgáló olajok,Oils for use in hydraulic systems and other purposes
09211610-0,Hidraulikafolyadékok,Liquids for hydraulic purposes
09211620-3,Formaleválasztó olajok,Mould release oils
09211630-6,Korróziógátló olajok,Anti-corrosion oils
09211640-9,"Villamosipari, illetve szigetelőolajok",Electrical insulating oils
09211650-2,Fékolaj,Brake fluids
09211700-8,Fehérolajok és folyékony paraffin,White oils and liquid paraffin
09211710-1,Fehérolajok,White oils
09211720-4,Folyékony paraffin,Liquid paraffin
09211800-9,Ásványolaj és abból készült termékek,Petroleum oils and preparations
09211810-2,Könnyűolaj,Light oils
09211820-5,Ásványolaj,Petroleum oils
09211900-0,Fokozatmentes hajtóművekhez való kenőolajok,Lubricating traction oils
09220000-7,"Vazelin, viaszok és speciális benzinek","Petroleum jelly, waxes and special spirits"
09221000-4,Vazelin és viaszok,Petroleum jelly and waxes
09221100-5,Vazelin,Petroleum jelly
09221200-6,Paraffinviasz,Paraffin wax
09221300-7,Kőolajviasz,Petroleum wax
09221400-8,Ásványolaj-üledék,Petroleum residues
09222000-1,Speciális benzinek,Special spirits
09222100-2,Lakkbenzin,White spirit
09230000-0,Kőolaj (nyers),Petroleum (crude)
09240000-3,Olaj- és szénalapú termékek,Oil and coal-related products
09241000-0,Bitumenes pala vagy olajpala,Bituminous or oil shale
09242000-7,Szénalapú termékek,Coal-related products
09242100-8,Petróleum,Coal oil
09300000-2,"Villamos energia, fűtés, nap- és nukleáris energia","Electricity, heating, solar and nuclear energy"
09310000-5,Villamos energia,Electricity
09320000-8,"Gőz, meleg víz és kapcsolódó termékek","Steam, hot water and associated products"
09321000-5,Meleg víz,Hot water
09322000-2,Gőz,Steam
09323000-9,Távfűtés,District heating
09324000-6,Távhőszolgáltatás,Long-distance heating
09330000-1,Napenergia,Solar energy
09331000-8,Napelemek,Solar panels
09331100-9,Napkollektorok hő termelésére,Solar collectors for heat production
09331200-0,Fényelektromos napelemmodulok,Solar photovoltaic modules
09332000-5,Napelemes berendezések,Solar installation
09340000-4,Nukleáris fűtőanyagok,Nuclear fuels
09341000-1,Urán,Uranium
09342000-8,Plutónium,Plutonium
09343000-5,Radioaktív anyagok,Radioactive materials
09344000-2,Radioaktív izotópok,Radio-isotopes
14000000-1,"Bányászat, alapfémek és kapcsolódó termékek","Mining, basic metals and related products"
14200000-3,Homok és agyag,Sand and clay
14210000-6,"Kavics, homok, zúzott kő és aggregátum","Gravel, sand, crushed stone and aggregates"
14211000-3,Homok,Sand
14211100-4,Természetes homok,Natural sand
14212000-0,"Kőszemcse, kőszilánk, kőpor, kavics, sóder, tört és zúzott kő, kőkeverék, homok-sóder keverék és egyéb aggregátum","Granules, chippings, stone powder, pebbles, gravel, broken and crushed stone, stone mixtures, sand-gravel mixtures and other aggregates"
14212100-1,Kavics és sóder,Pebbles and gravel
14212110-4,Kavics,Pebbles
14212120-7,Sóder,Gravel
14212200-2,Aggregátum,Aggregates
14212210-5,Homok-sóder keverék,Sand-gravel mix
14212300-3,Tört és zúzott kő,Broken and crushed stone
14212310-6,Zúzott kő,Ballast
14212320-9,Zúzott gránit,Crushed granite
14212330-2,Zúzott bazalt,Crushed basalt
14212400-4,Talaj (külszíni kőzet),Soil
14212410-7,Aktív talajréteg (humusz),Topsoil
14212420-0,Altalaj,Subsoil
14212430-3,Kőszilánk,Stone chippings
14213000-7,"Makadám, kátrányos makadám és kátrányos homok","Macadam, tarmac and tar sands"
14213100-8,Makadám,Macadam
14213200-9,Kátrányos makadám,Tarmac
14213300-0,Kátrányos homok,Tar sands
14220000-9,Agyag és kaolin,Clay and kaolin
14221000-6,Agyag,Clay
14222000-3,Kaolin,Kaolin
14300000-4,"Ásványi, vegyi és műtrágya-alapanyagok",Chemical and fertiliser minerals
14310000-7,Ásványi műtrágya-alapanyagok,Fertiliser minerals
14311000-4,"Természetes kalcium, alumínium-kalcium-foszfát és tisztítatlan természetes káliumsók","Natural calcium, aluminium calcium phosphate and crude natural potassium salts"
14311100-5,Természetes kalcium,Natural calcium
14311200-6,Alumínium-kalcium-foszfát,Aluminium calcium phosphates
14311300-7,Nyers természetes káliumsók,Crude natural potassium salts
14312000-1,Vaspirit,Iron pyrites
14312100-2,Természetes vaspirit,Unroasted iron pyrites
14320000-0,Ásványi vegyi alapanyagok,Chemical minerals
14400000-5,Só és tiszta nátrium-klorid,Salt and pure sodium chloride
14410000-8,Kősó,Rock salt
14420000-1,Tengeri só,Sea salt
14430000-4,Lepárolt só és tiszta nátrium-klorid,Evaporated salt and pure sodium chloride
14450000-0,Sóoldat,Salt in brine
14500000-6,Kapcsolódó bányászati és kőfejtési termékek,Related mining and quarrying products
14520000-2,"Drágakövek és féldrágakövek, habkő, csiszolópor, természetes dörzskő; egyéb ásványok és nemesfémek","Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals"
14521000-9,Drágakövek és féldrágakövek,Precious and semi-precious stones
14521100-0,Drágakövek,Precious stones
14521140-2,Drágakőpor,Dust or powder of precious stones
14521200-1,Féldrágakövek,Semi-precious stones
14521210-4,Féldrágakőpor,Dust or powder of semi-precious stones
14522000-6,"Ipari gyémántok, habkő, csiszolópor és egyéb természetes dörzskő","Industrial diamonds, pumice stone, emery and other natural abrasives"
14522100-7,Habkő,Pumice stone
14522200-8,Ipari gyémánt,Industrial diamonds
14522300-9,Csiszolókő/smirgli,Emery
14522400-0,Természetes dörzskő,Natural abrasives
14523000-3,"Ásványok, nemesfémek és kapcsolódó termékek","Related minerals, precious metals and associated products"
14523100-4,"Ásványok, ásványanyagok",Minerals
14523200-5,Arany,Gold
14523300-6,Ezüst,Silver
14523400-7,Platina,Platinum
14600000-7,Fémtartalmú ércek és ötvözetek,Metal ores and alloys
14610000-0,Fémtartalmú ércek,Metal ores
14611000-7,Vasérc,Iron ores
14612000-4,Színesfémtartalmú ércek,Non-ferrous metal ores
14612100-5,Rézérc,Copper ores
14612200-6,Nikkelérc,Nickel ores
14612300-7,Alumíniumérc,Aluminium ores
14612400-8,Nemesfémérc,Precious-metal ores
14612500-9,Ólomérc,Lead ores
14612600-0,Cinkérc,Zinc ores
14612700-1,Ónérc,Tin ores
14613000-1,Uránium- és tóriumérc,Uranium and thorium ores
14613100-2,Urániumérc,Uranium ores
14613200-3,Tóriumérc,Thorium ores
14614000-8,Különféle ércek,Miscellaneous ores
14620000-3,Ötvözetek,Alloys
14621000-0,Vasötvözetek,Ferro-alloys
14621100-1,Nem ESZAK-gyártmányú vasötvözetek,Non-ECSC ferro-alloys
14621110-4,Ferromangán,Ferro-manganese
14621120-7,Ferrokróm,Ferro-chromium
14621130-0,Ferronikkel,Ferro-nickel
14622000-7,Acél,Steel
14630000-6,"Salak, iszap, vastartalmú hulladék és törmelék","Slag, dross, ferrous waste and scrap"
14700000-8,Alapfém,Basic metals
14710000-1,"Vas, ólom, cink (horgany), ón és réz","Iron, lead, zinc, tin and copper"
14711000-8,Vas,Iron
14711100-9,Nyersvas,Pig iron
14712000-5,Ólom,Lead
14713000-2,Horgany,Zinc
14714000-9,Ón,Tin
14715000-6,Réz,Copper
14720000-4,"Alumínium, nikkel, szkandium, titán és vanádium","Aluminium, nickel, scandium, titanium and vanadium"
14721000-1,Alumínium,Aluminium
14721100-2,Alumínium-oxid,Aluminium oxide
14722000-8,Nikkel,Nickel
14723000-5,Szkandium,Scandium
14724000-2,Titán,Titanium
14725000-9,Vanádium,Vanadium
14730000-7,"Króm, mangán, kobalt, ittrium és cirkónium","Chromium, manganese, cobalt, yttrium and zirconium"
14731000-4,Króm,Chromium
14732000-1,Mangán,Manganese
14733000-8,Kobalt,Cobalt
14734000-5,Ittrium,Yttrium
14735000-2,Cirkónium,Zirconium
14740000-0,"Molibdén, technécium, ruténium és ródium","Molybdenum, technetium, ruthenium and rhodium"
14741000-7,Molibdén,Molybdenum
14742000-4,Technécium,Technetium
14743000-1,Ruténium,Ruthenium
14744000-8,Ródium,Rhodium
14750000-3,"Kadmium, lutécium, hafnium, tantál és volfrám","Cadmium, lutetium, hafnium, tantalum and tungsten"
14751000-0,Kadmium,Cadmium
14752000-7,Lutécium,Lutetium
14753000-4,Hafnium,Hafnium
14754000-1,Tantál,Tantalum
14755000-8,Volfrám,Tungsten
14760000-6,"Irídium, gallium, indium, tallium és bárium","Iridium, gallium, indium, thallium and barium"
14761000-3,Irídium,Iridium
14762000-0,Gallium,Gallium
14763000-7,Indium,Indium
14764000-4,Tallium,Thallium
14765000-1,Bárium,Barium
14770000-9,"Cézium, stroncium, rubidium és kalcium","Caesium, strontium, rubidium and calcium"
14771000-6,Cézium,Caesium
14772000-3,Stroncium,Strontium
14773000-0,Rubidium,Rubidium
14774000-7,Kalcium,Calcium
14780000-2,"Kálium, magnézium, nátrium és lítium","Potassium, magnesium, sodium and lithium"
14781000-9,Kálium,Potassium
14782000-6,Magnézium,Magnesium
14783000-3,Nátrium,Sodium
14784000-0,Lítium,Lithium
14790000-5,"Nióbium, ozmium, rénium és palládium","Niobium, osmium, rhenium and palladium"
14791000-2,Nióbium,Niobium
14792000-9,Ozmium,Osmium
14793000-6,Rénium,Rhenium
14794000-3,Palládium,Palladium
14800000-9,Különféle nemfémes ásványi termékek,Miscellaneous non-metallic mineral products
14810000-2,Csiszolóeszközök,Abrasive products
14811000-9,"Malomkövek, őrlőkövek és csiszolókorongok","Millstones, grindstones and grinding wheels"
14811100-0,Malomkövek,Millstones
14811200-1,Őrlőkövek,Grindstones
14811300-2,Csiszolókorongok,Grinding wheels
14812000-6,Csiszolóanyag por vagy szemcse alakban,Abrasive powder or grain
14813000-3,Mesterséges korund,Artificial corundum
14814000-0,Mesterséges grafit,Artificial graphite
14820000-5,Üveg,Glass
14830000-8,Üvegszál,Fibreglass
14900000-0,Visszanyert másodlagos nyersanyagok,Recovered secondary raw materials
14910000-3,Visszanyert másodlagos fémes nyersanyagok,Recovered secondary metal raw materials
14920000-6,Visszanyert másodlagos nem fémes nyersanyagok,Recovered secondary non-metal raw materials
14930000-9,Fémtartalmú hamu és üledék,Ash and residues containing metals
15000000-8,"Élelmiszerek, italok, dohány és kapcsolódó termékek","Food, beverages, tobacco and related products"
15100000-9,"Állati termékek, hús és húskészítmények","Animal products, meat and meat products"
15110000-2,Hús,Meat
15111000-9,Szarvasmarhafélék húsa,Bovine meat
15111100-0,Marhahús,Beef
15111200-1,Borjúhús,Veal
15112000-6,Baromfi,Poultry
15112100-7,Friss baromfi,Fresh poultry
15112110-0,Liba,Geese
15112120-3,Pulyka,Turkeys
15112130-6,Csirke,Chickens
15112140-9,Kacsa,Ducks
15112300-9,Baromfimáj,Poultry livers
15112310-2,Libamáj,Foie gras
15113000-3,Sertéshús,Pork
15114000-0,Belsőségek,Offal
15115000-7,Bárány- és juhhús,Lamb and mutton
15115100-8,Bárányhús,Lamb
15115200-9,Juhhús,Mutton
15117000-1,Kecskehús,Goat meat
15118000-8,"Ló-, szamár- és öszvérhús","Horse, ass, mule or hinny meat"
15118100-9,Lóhús,Horsemeat
15118900-7,Szamár- és öszvérhús,"Ass, mule or hinny meat"
15119000-5,Különféle húsok,Various meats
15119100-6,Házinyúlhús,Rabbit meat
15119200-7,Mezeinyúl-hús,Hare meat
15119300-8,Vadhús,Game
15119400-9,Békacomb,Frogs' legs
15119500-0,Házigalambhús,Pigeons
15119600-1,Halhús,Fish meat
15130000-8,Hústermékek,Meat products
15131000-5,Húskonzervek és húskészítmények,Meat preserves and preparations
15131100-6,Töltött hústermék,Sausage-meat products
15131110-9,Kolbászhús,Sausage meat
15131120-2,Kolbászáru,Sausage products
15131130-5,Kolbász,Sausages
15131134-3,Véres hurka,Black pudding and other blood sausages
15131135-0,Baromfifelvágott,Poultry sausages
15131200-7,"Szárított, sózott, füstölt vagy fűszerezett hús","Dried, salted, smoked or seasoned meat"
15131210-0,Füstölt sonka,Gammon
15131220-3,Szalonna,Bacon
15131230-6,Szalámi,Salami
15131300-8,Májkészítmények,Liver preparations
15131310-1,Pástétom,Pâté
15131320-4,Libamáj- és kacsamájkészítmények,Preparations of goose or duck liver
15131400-9,Sertéshúskészítmények,Pork products
15131410-2,Sonka,Ham
15131420-5,Húsgombóc,Meatballs
15131490-6,Sertéshúsos készétel,Prepared pork dishes
15131500-0,Baromfihúsból készült termékek,Poultry products
15131600-1,Marha- és borjúhúsból készült termékek,Beef and veal products
15131610-4,Marhahúsgombóc,Beef meatballs
15131620-7,Darált hús (fasírt),Minced beef
15131640-3,Marhahúspogácsa,Beefburgers
15131700-2,Húskészítmények,Meat preparations
15200000-0,Halkészítmények és tartósított halak,Prepared and preserved fish
15210000-3,"Halfilé, halmáj és halikra","Fish fillets, fish livers and roe"
15211000-0,Halfilé,Fish fillets
15211100-1,Friss halfilé,Fresh fish fillets
15212000-7,Haltej,Fish roe
15213000-4,Halmáj,Fish livers
15220000-6,"Fagyasztott hal, halfilé és egyéb halhús","Frozen fish, fish fillets and other fish meat"
15221000-3,Fagyasztott hal,Frozen fish
15229000-9,Fagyasztott haltermék,Frozen fish products
15230000-9,"Sózással vagy szárítással, sós lében, füstöléssel tartósított hal",Dried or salted fish; fish in brine; smoked fish
15231000-6,"Hal, szárítva",Dried fish
15232000-3,"Hal, sózva",Salted fish
15233000-0,"Hal, sós lében tartósítva",Fish in brine
15234000-7,"Hal, füstölt",Smoked fish
15235000-4,Konzervált hal,Preserved fish
15240000-2,"Üvegben vagy dobozban konzervált, valamint egyéb módon feldolgozott vagy konzervált hal",Canned or tinned fish and other prepared or preserved fish
15241000-9,"Panírozott, illetve üvegben vagy dobozban konzervált hal","Coated, canned or tinned fish"
15241100-0,Konzervált lazac,Canned salmon
15241200-1,Feldolgozott vagy konzervált hering,Prepared or preserved herring
15241300-2,Szardínia,Sardines
15241400-3,Konzervált tonhal,Canned tuna
15241500-4,Makréla,Mackerel
15241600-5,Szardella,Anchovies
15241700-6,Halrudak,Fish fingers
15241800-7,Panírozott halkészítmények,Coated fish preparations
15242000-6,Kész halételek,Prepared fish dishes
15243000-3,Halkészítmények,Preparations of fish
15244000-0,Kaviár és halikra,Caviar and fish eggs
15244100-1,Kaviár,Caviar
15244200-2,Halikra,Fish eggs
15250000-5,Tenger gyümölcsei,Seafood
15251000-2,Fagyasztott rákok,Frozen crustaceans
15252000-9,Elkészített vagy tartósított rákok,Prepared or preserved crustaceans
15253000-6,Kagylóhúsból készült termék,Shellfish products
